@RELATION twitter-J48-Emoticon-Bigram
@ATTRIBUTE amazing NUMERIC
@ATTRIBUTE awesome NUMERIC
@ATTRIBUTE best NUMERIC
@ATTRIBUTE birthday NUMERIC
@ATTRIBUTE cant NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE death NUMERIC
@ATTRIBUTE drone NUMERIC
@ATTRIBUTE excited NUMERIC
@ATTRIBUTE fake NUMERIC
@ATTRIBUTE fuck NUMERIC
@ATTRIBUTE fucking NUMERIC
@ATTRIBUTE good NUMERIC
@ATTRIBUTE great NUMERIC
@ATTRIBUTE happy NUMERIC
@ATTRIBUTE hate NUMERIC
@ATTRIBUTE ice NUMERIC
@ATTRIBUTE leftists NUMERIC
@ATTRIBUTE love NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE people NUMERIC
@ATTRIBUTE shit NUMERIC
@ATTRIBUTE so NUMERIC
@ATTRIBUTE stupid NUMERIC
@ATTRIBUTE emoticon NUMERIC
@ATTRIBUTE bigram NUMERIC
@ATTRIBUTE sentiment {positive,negative,neutral}
@DATA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,?
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,?
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,?
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,?
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,?
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,?
